path,type,size,parent
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон,directory,69334,
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/Seminar2.2.py,file,1839,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/seminar3.3.py,file,501,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar5.2.py,file,911,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/seminar2.6.py,file,1335,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar5.4 copy.py,file,261,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/task_123,file,317,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar5.3.py,file,447,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/.DS_Store,file,6148,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/seminar3.6.py,file,1678,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar3.2.py,file,721,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar2.3.py,file,1338,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/lectures.py,file,404,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar3.3.py,file,1443,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/task2.py,file,1024,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar2.2.py,file,1176,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/task1.py,file,1624,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar2.1.py,file,732,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar3.1.py,file,541,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/seminar3.5.py,file,156,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/seminar3.1.py,file,863,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/Seminar2.1.py,file,188,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar5.1.py,file,678,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/seminar2.5.py,file,978,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/seminar3.4.py,file,596,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization,directory,29949,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/.DS_Store,file,6148,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/pickle.py,file,880,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task1,directory,10176,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task1/result.json,file,5209,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task1
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task1/results.txt,file,4014,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task1
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task1/main.py,file,953,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task1
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2,directory,3860,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2/task.txt,file,792,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2/users.json,file,135,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2/user.json,file,110,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2/main.py,file,2823,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/task2
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework,directory,8885,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/task.txt,file,961,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/main.py,file,407,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo,directory,7517,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__init__.py,file,201,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/entries.py,file,3047,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__pycache__,directory,4269,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__pycache__/entries.cpython-311.pyc,file,3733,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__pycache__
